id,name,shortName,order
1,Análisis II,,
2,Álgebra I,,
3,Algoritmos y Estructuras de Datos I,Algoritmos I,
4,Probabilidad y Estadística (C),Probabilidad y Estadística,
5,Algoritmos y Estructura de Datos II,Algoritmos II,
6,Organización del Computador I,Organización I,
7,Métodos Numéricos,,
8,Organización del Computador II,Organización II,
9,Algoritmos y Estructura de Datos III,Algoritmos III,
10,Sistemas Operativos,,
11,Lógica y Computabilidad,,
12,Teoría de las Comunicaciones / Redes,,
13,Ingeniería de Software I,,
14,Bases de Datos,,
15,Teoría de Lenguajes,,
16,Paradigmas de Programación,,
17,Ingeniería de Software II,,
18,Tesis de Licenciatura,,
19,Análisis I,,
20,Análisis II (M),Análisis II,
21,Álgebra Lineal,,
22,Taller de Cálculo Avanzado,,
23,Cálculo Avanzado,,
24,Elem. de Cálculo Numérico	,,
25,Análisis Complejo,,
26,Probabilidades y Estadística (M),Probabilidad y Estadística,
27,Análisis Real,,
28,Álgebra II,,
29,Topología,,
30,Geometría Proyectiva,,
31,Análisis Funcional,,
32,Geometría Diferencial,,
33,Ecuaciones Diferenciales A,,
34,Álgebra III,,
35,Tesis de Licenciatura,,
36,Medida y Probabilidad,,
37,Introd. a la Computación,,
38,Estadística (Aplicada),,
39,Investigación Operativa,,
40,Temas de Física,,
41,Optimización,,
42,Ecuaciones Diferenciales B,,
43,Análisis Numérico,,
44,Tesis de Licenciatura,,
45,Matemática 1,,
46,Física 1,,
47,Laboratorio 1,,
48,Matemática 2,,
49,Física 2,,
50,Matemática 3,,
51,Laboratorio 2,,
52,Física 3,,
53,Cálculo Numérico,,
54,Matemática 4,,
55,Física 4,,
56,Mecánica Clásica,,
57,Laboratorio 3,,
58,Física Teórica 1,,
59,Física Teórica 2,,
60,Laboratorio 4,,
61,Laboratorio 5,,
62,Física Teórica 3,,
63,Estructura de la Materia 1,,
64,Laboratorio 6,,
65,Estructura de la Materia 2,,
66,Estructura de la Materia 3,,
67,Estructura de la Materia 4,,
68,Laboratorio 7,,
69,Tesis de Licenciatura,,
70,Química General e Inorgánica I,Q. General e Inorganica I,
71,Análisis Matemático I,Análisis I,
72,Química General e Inorgánica II,Q. General e Inorganica I,
73,Análisis Matemático II,Análisis II,
74,Química Analítica,,
75,Química Orgánica I,,
76,Física I,,
77,Química Orgánica II,,
78,Física II,,
79,Química Biológica,,
80,Química Física I,,
81,Estadística,,
82,Química Física II,,
83,Microbiología General e Industrial,Microbiología G. e I.,
